Название;Жанр;Режиссер;Страна;Год
Адреналин: Страх погони;боевик, фантастика;Альберт Пьюн;США;1996
Адреналин 2: Высокое напряжение;боевик, криминал, триллер, чёрная комедия, трэш, Поп-рок, альтернативный рок, саундтрек;Марк Невелдайн, Брайан Тейлор;США, США;2009
Адреналин;боевик, триллер, криминал, чёрная комедия;Марк Невелдайн, Брайан Тейлор;США;2006
Адреналин;фильм ужасов;Анита Ассаль, Бартоломи Бомпар;Франция;1990
Адмиралъ;исторический, военный, приключенческий, мелодрама, драма;Андрей Кравчук;Россия;2008
Адмирал Ушаков;историко-биографический;Михаил Ромм;СССР;1953
Адмирал Нахимов;историко-биографический;Всеволод Пудовкин;СССР;1946
Адмирал;байопик, военный фильм, исторический фильм, драма;Роэль Рейн;Нидерланды;2015
Административная власть;романтический фильм, и, драма;Роберт Уайз;США;1954
Аджами;драма;Скандар Копти, Ярон Шани;;2009
Адемай на пограничном посту;комедия;Поль Коллин;Франция;1950
Адвокат дьявола;ужасы, триллер, драма;Тейлор Хэкфорд;США;1997
Адела ещё не ужинала;Кинокомедия, детектив;Олдржих Липский;Чехословакия;1977
Адвокат;драма;Ян Усок, [англ.];Республика Корея;2013
Адвокат;драма, детектив;Искандер Хамраев;СССР;1990
Адамовы яблоки;комедия, драма, криминальный фильм;Андерс Томас Йенсен;;2005
Адвокат;драма;Уильям Уайлер;США;1933
Адаптация;трагикомедия, Музыка к фильму;Спайк Джонз;США, США;2002
Адам хочет быть человеком;драма;Витаутас Жалакявичюс;СССР;1959
Адам и Хева;комедия;Алексей Коренев;СССР;1969
Адам и Стив;комедия;Крэйг Честер;США;2005
Адам женится на Еве;драма, и, комедия;Виктор Абросимович Титов;СССР;1980
Адам;драма, мелодрама;Макс Майер;США;2009
Адажио;polar, [вд], криминальный фильм, и, фильм-триллер;Стефано Соллима;Италия;2023
Ада! Это же неудобно!;комедия;Конрад Том;Польша;1936
Ад, или Досье на самого себя;драма;Геннадий Беглов;СССР;1989
Ад Танжера;драма;Франк Ван Мехелен;Бельгия;2006
Ад по соседству;драма, 1, фильм ужасов, 1, и, фильм-триллер, 1;Дэвид Мармор, [вд], 1;США, 1;2019
Ад каннибалов 3;Ужасы, Приключения;Руджеро Деодато;Италия;1977
Ад каннибалов;фильм о каннибалах;Руджеро Деодато;Италия;1980
Ад в Тихом океане;приключенческий фильм, боевик;Джон Бурмен;США;1968
Ад и небо;Фантастическая, комедия;Станислав Ружевич;Польша;1966
Ад живых мертвецов;фильм ужасов;Бруно Маттеи, Клаудио Фрагассо;;1980
Ад в поднебесье;фильм-катастрофа;Джон Гиллермин;США;1974
Ад в заливе Фриско;Фильм нуар;Фрэнк Таттл;США;1956
Ад;криминальная, драма, чёрный юмор;Луис Эстрада;Мексика;2010
Ад;драма;Клод Шаброль;Франция;1994
Ад;немое кино, драма, фильм ужасов, и, фэнтези;Джузеппе де Лигуоро, [вд], Адольфо Падован, [вд], Франческо Бертолини, [вд];Италия;1911
Ад — это город;криминальный фильм;Вэл Гест;Великобритания;1960
Агрессивные дамочки / Нападения 5-футовых женщин;комедия, пародия;Джули Браун, Ричард Уэнк;США;1994
Агора;биография, драма, приключения, история, пеплум, 1;Алехандро Аменабар;;2009
Агония;исторический фильм, драма;Элем Климов;СССР;1981
Агнец;фолк-хоррор;Вальдимар Йоханнссон;;2021
Агитбригада «Бей врага!»;комедия, драма;Виталий Мельников;Россия;2007
Агнесса Божья;драма, триллер;Норман Джуисон;США;1985
Агенты Сокол и Снеговик;драма, /, триллер;Джон Шлезингер;;1985
Агирре, гнев Божий;драма, приключения;Вернер Херцог;ФРГ;1972
Агенты КГБ тоже влюбляются;комедия положений;Себастьян Аларкон;СССР;1991
Агенты казначейства;нуар;Энтони Манн;США;1947
Агенты А.Н.К.Л.;Комедийный боевик;Гай Ричи;США;2015
Агент-невидимка;фильм ужасов, фантастический фильм;Эдвин Л. Марин;США;1942
Агент секретной службы;детектив, шпионский, драма;Ион Скутельник;СССР;1978
Агент под прикрытием;криминальный, комедийный боевик;Том Воган;США;2013
Агент по имени Далила;триллер;Ричард Франклин;США;1992
Агент по кличке Спот;боевик, /, комедия;Джон Уайтселл;США;2001
Агент особого назначения;Детектив;Константин Статский, (1-й сезон),, Наталья Шабанова, (2-й сезон),, Андрей Элинсон, (3-й и 4-й сезоны);Россия;2010
Агент Коди Бэнкс 2:;комедия, , семейный;Кевин Аллен;США;2004
Агент Коди Бэнкс;комедия, пародия, боевик;Харальд Цварт, [англ.];США;2003
Агент Картер;короткометражка, боевик, приключения, научная фантастика;Луис Д'Эспозито;США;2013
Агент Ева;боевик, триллер, драма, криминал, детектив;Тейт Тейлор;США;2020
Агент Джонни Инглиш: Перезагрузка;комедия, пародия, боевик, приключения;Оливер Паркер;;2011
Агент Джонни Инглиш 3.0;комедия, пародия, боевик;Дэвид Керр;;2018
Агент Джонни Инглиш;комедия, боевик;Питер Хауитт;;2003
Агент 117: Миссия в Рио;комедия, /, боевик;Мишель Хазанавичус;Франция;2009
Агент 117:;комедия, -, боевик, Поп, фолк, джаз;Мишель Хазанавичус;Франция, Франция;2006
Агент 117: Из Африки с любовью;шпионский фильм, и, комедия;Николя Бедос;Франция;2021
Агент;боевик;Аарон Норрис;США;1991
Автострада;фильм ужасов, триллер, мистика;Мик Гаррис;США;1997
Агата;драма, /, триллер;Майкл Эптед;Великобритания;1979
Автостопом по галактике;приключенческий фильм, комедия, фантастика;Гарт Дженнингс;;2005
Автостоп;мелодрама, комедийная драма;Никита Михалков;;1990
Авторитеты;супергеройский фильм;;США;
Авторитет;blaxploitation, драма, боевик;Эрнест Дикерсон;США;1992
Авторитет;боевик, триллер;Райан Комбс;США;2008
Автора! Автора!;мелодрама;Артур Хиллер;США;1982
Автор;драма, комедия;Мануэль Мартин Куенка;;2017
Автопробег «Париж — Нью-Йорк»;фантастика;Жорж Мельес;;1908
Автопортрет неизвестного;драма;Вячеслав Криштофович;СССР;1988
Автомобильные воры;драма;Дж. Стюарт Блэктон;США;1906
Автомобиль, скрипка и собака Клякса;комедия, музыкальный фильм, сказка;Ролан Быков;СССР;1974
Автомобиль на крыше;исторический, комедия, драма, экранизация;Дмитрий Кесаянц;СССР;1980
Автомобиль;фильм ужасов, фильм-тайна, и, фильм-триллер;Эллиот Силверштейн, [вд];США;1977
Автомобили, которые съели Париж;фильм ужасов, /, комедия;Питер Уир;Австралия;1974
Автомат;документальный фильм;Лиза Гурвиц;США;2021
Автокатастрофа;драма, триллер;Дэвид Кроненберг;;1996
Автобусная остановка;комедийная, драма;Джошуа Логан;США;1956
Автобус отходит в 6.20;драма, соцреализм;Ян Рыбковский;Польша;1954
Автобус;комедия;Арне Скуэн;Норвегия;1961
Автобан;боевик;Эрен Криви, [англ.];;2016
Австрийское поле;драма;Андрей Черных;СССР;1991
Австрийка;драма, исторический фильм;Пьер Гранье-Дефер;Франция;1989
Австралия;эпическая, драма;Баз Лурман;;2008
«Аврора»;драма, мелодрама;Оксана Байрак;Украина;2006
Авраам: Хранитель веры;драма;Джозеф Сарджент;;1994
Авиценна;Биографический фильм, исторический фильм;Камиль Ярматов;СССР;1956
Авиатор;научно-фантастическая, драма;Егор Кончаловский;Россия;2025
Авива, любовь моя;драма;Шеми Зархин, [вд], 1;Израиль;2006
Авиатор;фильм-биография, драма;Мартин Скорсезе;;2004
Авиапочта;мелодрама, приключения;Ирвин Виллат;США;1925
Авель, твой брат;психологическая, драма;Януш Насфетер;Польша;1970
Аве Цезарь;комедия;Энтони Майкл Холл;США;1994
Аве Мария;драма, мелодрама;Людмила Ефименко;Украина;1999
Авдотья Павловна;киноповесть, драма, социальная драма;Александр Муратов;СССР;1966
Августовские киты;драма;Линдсей Андерсон;США;1987
Августовская рапсодия;драма;Акира Куросава;Япония;1991
Август: Графство Осейдж;драма;Джон Уэллс;США;2013
Август. Восьмого;военный, боевик, драма;Джаник Файзиев;Россия;2012
Август Раш;драма, мелодрама;Кирстен Шеридан;США;2007
Август без императора;драма, триллер;Сацуо Ямамото;Япония;1978
Август;военный, триллер, боевик, детектив, драма;Никита Высоцкий, , Илья Лебедев;Россия;2025
Аватар: Путь воды;эпический фильм, научная фантастика, приключенческий боевик;Джеймс Кэмерон;США;2022
Август;комедия, драма;Энтони Хопкинс;Великобритания;1996
Американская трагедия;драма;Марийонас Гидрис;СССР;1981
Американская трагедия;драма;Джозеф фон Штернберг;США;1931
Американская сказка;фэнтези, комедия;Дэвид Цукер;США;2008
Американская рапсодия;биографический фильм, фильм о взрослении, [вд], и, драма, 1, 2, […];Эва Гардос, [вд];;2001
Американская пастораль;драма, , криминал;Юэн Макгрегор;США;2016
Американская Мэри;фильм ужасов, триллер;Джен Соска, Сильвия Соска;Канада;2012
Американская ночь;трагикомедия;Франсуа Трюффо;;1973
Американская милашка;Роуд-муви;Андреа Арнольд;;2016
Американская мечта;комедия, музыка;Пол Вайц;США;2006
Американская история Икс;драма, криминал, Инструментальная, электроакустическая;Тони Кэй;США, США;1998
Американская интрижка;комедия, драма;Уильям Олсон;США;2008
Американская звезда;фильм-триллер;Гонсало Лопес-Гальего, [вд];;2024
Американская жестокость;драма, криминальный фильм;Тимоти Вудворд мл.;США;2016
Американская дочь;трагикомедия, роуд-муви;Карен Шахназаров;;1995
Американская девочка;подростковый фильм, комедия, драма, и, ЛГБТ-фильм, [вд];Джордан Брэйди, [вд], 1;США;2002
Американская готика;ужасы, триллер;Джон Хаф, [англ.];;1987
Американка;драма;Семи Челлас;;2019
Американец в Риме;комедия;Стено;Италия;1954
Американская басня;триллер;Энн Хэмилтон;США;2016
Американка;драма, трагикомедия;Дмитрий Месхиев;Россия;1997
Американизируй меня;драма;Эдвард Джеймс Олмос;США;1992
Американизация Эмили;драма, комедия, военный, мелодрама, экранизация;Артур Хиллер;США;1964
Американец в Париже;музыкальный фильм, мелодрама;Винсент Миннелли;США;1951
Американец;драма;Майкл А. Гурджиан;Армения;2022
Американец;драма, /, криминальный фильм;Антон Корбейн;США;2010
Американа;драма;Дэвид Кэррадайн;США;1983
Америка, Америка;драма, мистика;Элиа Казан;США;1963
Америка 3000;постапокалиптика;Дэвид Энгельбах;США;1986
Америка;Криминальная драма;Жуан Нуно Пинту;;2010
Амелия;биография, драма, мелодрама;Мира Наир;;2009
Амели;романтическая комедия;Жан-Пьер Жёне;Франция, 2, 3;2001
Амбициозная кунгфуистка;боевик, приключенческий фильм;Лу Цзюньгу;Гонконг;1981
Амбивалентность;триллер, драма;Антон Бильжо;Россия;2019
Амар, Акбар, Антони;комедия;Манмохан Десаи, [англ.];Индия;1977
Амаркорд;комедия, драма;Федерико Феллини;;1973
«Аманда ночью»;порнофильм, криминальная драма, триллер, 1;Гэри Грейвер;США;1981
Аманда и инопланетянин;фантастика, комедия;Джон Кролл;США;1995
Аманда;драма, 2;Каролина Кавалли, [вд];;2022
Амангельды;историческая драма;Моисей Левин;СССР;1938
Аманат;биография, история, военный, драма;Антон Сиверс, Рауф Кубаев;Россия;2022
Аманат;Драма;Сатыбалды Нарымбетов;Казахстан;2015
Амайа. Дитя вампира;драма, фэнтези, и, фильм о вампирах;Игорь Легаррета, [вд];;2021
Амазонки на Луне;фантастика, скетч-шоу;Джо Данте, Джон Лэндис, Карл Готлиб, Питер Хортон, Роберт К. Уайсс;США;1987
Амазонка в огне;драма,, приключения;Луис Льоса;;1993
Амазония;комедия, фантастика, приключения;Филипп де Брока;Франция;2000
Амадей;биографическая, историческая драма;Милош Форман;США;1984
Амаара: Песнь китов;документальный фильм;Себастьян Йобст;Германия;2021
Аляска, сэр!;детектив, приключения;Вячеслав Ребров;Россия;1992
Аляска;драма;Клаудио Купеллини, [вд], 1, 2;;2015
Алюминиевые человечки;комедия, драма;Барри Левинсон;США;1987
Альфредо, Альфредо;комедия;Пьетро Джерми;Италия;1972
Альфред Великий;исторический фильм;Клайв Доннер, [англ.];Великобритания;1969
Альфонс;комедия;Владимир Златоустовский;Россия;1993
Альфавиль;антиутопический, неонуар;Жан-Люк Годар;;1965
Альфа дог;триллер, драма, криминал, фильм-биография;Ник Кассаветис;США;2006
Альфа;исторический, боевик, триллер;Альберт Хьюз;США;2018
Альтамира;фильм-биография, драма, исторический фильм;Хью Хадсон;Испания;2016
Альсино и Кондор;драма;Мигель Литтин;;1982
Альрауне;драма, фантастика;Хенрик Галеен;Германия;1928
Альрауне;фильм ужасов, научно-фантастический фильм, драма, и, эротический фильм;Рихард Освальд, 1;Германия;1930
Альпы;драма;Йоргос Латимос;Греция;2011
Альпийская баллада;военная драма;Борис Степанов;СССР;1965
Альманах сатиры и юмора, выпуск №1;комедия, комедия;Александр Белинский, Е.Ануфриев;СССР, СССР;1980
Альма и Оскар;драма, биография;Дитер Бернер;;2022
Альбино Аллигатор;неонуар, криминальный фильм, 1, и, драма, 1;Кевин Спейси;;1996
Альба Регия;драма, , мелодрама,, военный;Михай Семеш, [венг.];Венгрия;1961
Аль-Кадисия;историческая драма;Салах Абу Сейф;;1981
Аль Капоне;гангстерский фильм, фильм-биография;Ричард Уилсон;США;1959
Алый час;Фильм нуар;Майкл Кёртис;США;1956
Алый первоцвет;драма, экранизация романа, [вд], и, фильм плаща и шпаги;Клайв Доннер, [вд];Великобритания;1982
Алый первоцвет;приключенческий фильм, фильм плаща и шпаги;Харольд  Янг;Великобритания;1934
Алый камень;Мелодрама;Валерий Исаков;СССР;1986
Алый знак доблести;драма, военный фильм, вестерн;Ли Филипс;США;1974
Алый знак доблести;драма, военный фильм;Джон Хьюстон;США;1951
Алые розы;комедия, экранизация;Джузеппе Амато, Витторио Де Сика;Италия;1940
Алые погоны;детский фильм, военный фильм;Олега Гойда;СССР;1979
Алые паруса;мелодрама;Александр Птушко;СССР;1961
Алые паруса;документальный, комедия;Петр Форман, Мирослав Янек;Чехия;2001
Алые маки Иссык-Куля;истерн, боевик;Болотбек Шамшиев;СССР;1971
Алхимики;комедия, фантастика;Дмитрий Астрахан;;2000
Алчность;мистическая, драма;Эрих фон Штрогейм;США;1924
Алхимик;фэнтези;Яцек Копрович;Польша;1989
Алукарда, дочь тьмы;фильм ужасов;Хуан Лопес Моктесума, [вд];Мексика;1977
Алпамыс идёт в школу;Детский фильм;Абдулла Карсакбаев;СССР;1976
Алоха;драма, комедия, мелодрама;Кэмерон Кроу;США;2015
Алое и чёрное;драма;Джерри Лондон;;1983
Алмас;драма;Ага-Рза Кулиев, Григорий Брагинский;;1936
Алмания — Добро пожаловать в Германию;драма, 4, комедийная драма, и, комедия;Ясмин Самдерели, [вд], 5;Германия;2011
Алмазы;драма;Иван Правов, Александр Оленин;СССР;1947
Алмазная тропа;кинодрама;Владимир Хмельницкий;;1978
Алмаз Брахмы;драматический фильм;Дэвид Уорк Гриффит;США;1909
Алмаз;документальный;Эльнура Осмоналиева;Кыргызстан;2010
Алло, колл-центр слушает!;мелодрама;Атул Агнихотри, [англ.];Индия;2008
Алло, Варшава!;музыкальная комедия;Ольгерд Воронцов;СССР;1971
Аллилуйя;драма;Фабрик Дю Вельц, [вд], 1, 2;;2014
Аллигатор по имени Дэйзи;комедия;Джей Ли Томпсон;Великобритания;1955
Аллигатор 2: Мутация;ужасы;Джон Хесс;США;1991
Аллигатор;ужасы;Льюис Тиг;США;1980
Аллея чудес;драма;Хорхе Фонс;Мексика;1995
Аллея кошмаров;триллер, нуар, драма;Гильермо дель Торо;;2021
Аллен против Фэрроу;телевизионный документальный фильм;Кирби Дик, [вд], Эми Зиринг Кофман, [вд];США;2021
Аллея кошмаров;драма, фильм нуар;Эдмунд Гулдинг;США;1947
Аллегро с огнём;военный фильм, драма;Владимир Стрелков;СССР;1980
Аллегро;драма, фантастика;Кристоффер Боэ;Дания;2005
Аллан Куотермейн и потерянный город золота;приключения, боевик, комедия;Гэри Нельсон, [англ.];США;1986
Аллажар;драма;Калдыбай Абенов;Казахстан;1993
Алла Пугачёва. Тот самый концерт;киноконцерт;Филипп Григорьян, , Татьяна Гулина;Россия;2019
Алкали, Айова;драма;Марк Кристофер;США;1996
Алишер Навои;историческая, драма;Камиль Ярматов;СССР;1947
Алишань;документальный фильм;Юнг Чанг;Канада;2009
Алита: Боевой ангел;антиутопия, боевик, киберпанк, симфоническая музыка, электронная музыка;Роберт Родригес;США;2019
Алитет уходит в горы;драма;Марк Донской;СССР;1950
Алиса, или Последний побег;драма, мистика, триллер;Клод Шаброль;Франция;1977
Алиса на море;кинокомедия;Уолт Дисней;США;1924
Алиса и укус пчелы;кинокомедия;Уолт Дисней;США;1925
Алиса и Букинист;мелодрама, приключения;Алексей Рудаков;Россия;1992
Алиса здесь больше не живёт;драма, романтика, трагикомедия;Мартин Скорсезе;США;1974
Алиса в стране чудес;фильм-сказка, мюзикл;Юрий Хмельницкий;Россия;2025
Алиса в Стране чудес;фэнтези, семейный фильм, приключенческий фильм;Ник Уиллинг;;1999
Алиса в Стране чудес;готика, тёмное фэнтези, приключения, Оркестр, классическая музыка, поп-музыка;Тим Бёртон;США, 5;2010
Алиса в Стране чудес;приключенческий фильм, семейный фильм, фэнтези;Гарри Харрис;США;1985
Алиса в Стране чудес;порнографический, музыкальный;Бад Таунсенд;США, 1;1976
Алиса в Стране чудес;семейный фильм;Уильям Стерлинг;Великобритания;1972
Алиса в Стране чудес;фэнтези;В.В. Янг;;1915
Алиса в Стране чудес;детский;Норман Маклеод, [англ.], *;США;1933
Алиса в Стране чудес;фэнтези;Сесиль Хепуорт, Перси Стоу;Великобритания;1903
Алиса в Зазеркалье;фэнтези, приключения, семейный фильм, оркестровая музыка, поп-рок;Джеймс Бобин, [англ.];США;2016
Алиса в Зазеркалье;фэнтези, приключения, семейный;Джон Хендерсон;Великобритания;1998
Алиса в городах;драма;Вим Вендерс;ФРГ;1974
Алиса;драма;Sylvie Ballyot;;2002
Алиса;криминальный фильм;Дидье Гольдшмидт, [вд];Франция;1998
Алим;немое кино, и, драма;Георгий Тасин;СССР;1926
Алим — крымский разбойник;драма;Вячеслав Висковский;Российская империя;1914
Алиби Сокола;Детективный фильм, Комедия;Рэй Маккэйри;США;1946
Алиби;комедия, драма, мелодрама;Мэтт Чековски, Курт Маттила;США;2006
Алиби;фильм-тайна, и, криминальный фильм;Пьер Шеналь, 1;Франция;1937
Алиби;детектив;Лесли Хискотт;Великобритания;1931
Алиби;криминальный фильм;Роланд Уэст;США;1929
Али, рули!;боевик, комедия, бадди-муви;Майкл Даус;США;2019
Али-Баба против семи сарацинов;приключенческий фильм;Эмиммо Сальви;Италия;1964
Али-Баба и сорок разбойников;;Хоми Вадия, [англ.];Индия;1966
Али-баба и 40 разбойников;приключенческий фильм, фильм-сказка;Сегундо де Шомон, Фернан Зекка;Франция;1902
Али-Баба и сорок разбойников;сказка, /, мюзикл, музыкальный фильм;Олег Рябоконь, Рябоконь, Олег Всеволодович;СССР, СССР;1983
Али и Нино;драма;Асиф Кападиа;;2016
Али Джи в парламенте;Фарсовая, комедия, сатира;Марк Майлод;;2002
Али;драма, биография, спорт;Майкл Манн;США;2001
Алжир, вид с неба;документальный фильм;Ян Артюс-Бертран;;2015
Алжир;драма;Джон Кромвелл;США;1938
Алёшкина охота;Киноповесть;Яков Базелян;СССР;1965
Алёшкина любовь;Мелодрама;Семён Туманов, Георгий Щукин;СССР;1960
Алёша-доброволец;драма;Б.С.Глаголин;Российская империя;1914
Алёша Птицын вырабатывает характер;комедия, детский;Анатолий Граник;СССР;1953
Алёша;драма, мелодрама;Виктор Обухов;СССР;1980
Аленький цветочек;фильм-сказка, фэнтези, романтический фильм, и, детский фильм;Ирина Поволоцкая;СССР;1978
Алёнка из Почитанки;комедия, мелодрама;Сергей Русаков;Россия;2014
Алёнка;комедия;Борис Барнет;СССР;1962
Алексеич;новелла, киноповесть, экранизация;Людмила Салдадзе;;1970
Александра;драма;Александр Сокуров;Россия;2007
Александр. Невская битва;исторический фильм, боевик;Игорь Калёнов;Россия;2008
Александр Попов;кинобиография;Герберт Раппапорт, Виктор Эйсымонт;СССР;1949
Александр Пархоменко;Киноповесть;Леонид Луков;СССР;1942
Александр Невский;киноэпопея, драма, военный, исторический;Сергей Эйзенштейн, Дмитрий Васильев;СССР;1938
Александр и ужасный, кошмарный, нехороший, очень плохой день;комедия, 2, 3, […], детский фильм, и, экранизация;Мигель Артета;США;2014
Александр Маленький;драма, военный;Владимир Фокин;;1981
Александр Великий;пеплум, байопик;Роберт Россен;;1956
Александр;биографическая, драма, исторический фильм, пеплум;Оливер Стоун;;2004
Алеко;фильм-опера;Сергей Сиделёв;СССР;1953
Алекс и Эмма;комедия, /, мелодрама;Роб Райнер;США;2003
Алджи-золотоискатель;комедия, мелодрама;Эдвард Уоррен;США;1912
Алголь. Трагедия силы;фантастика, драма;Ханс Веркмайст;Германия;1920
Албанец;драма, 1, 2, и, романтический фильм;Иоганнес Набер, [вд], 1, 2, […];;2010
Алая роза;Криминальная, драма, нуар;Умэцугу Иноуэ;Япония;1963
Алая Роза;комедия;Марчелло Пальеро;Франция;1951
Алая камелия;криминальная драма;Ёситаро Номура;Япония;1964
Алая женщина;комедия;Жан Валер;;1969
Алая буква;Драма;Пён Хёк;Республика Корея;2004
Алая буква;драма, /, мелодрама;Ролан Жоффе;США;1995
Алая буква;мелодрама;Вим Вендерс;;1973
Алая буква;драма;Виктор Шёстрём;США;1926
Алая буква;драматический фильм;Джозеф В. Смайли, Джордж Лоан Такер;США;1911
Аланис;драма;Анаи Бернери, [вд], 1;Аргентина;2017
Алан Партридж: Альфа Отец;комедия;Деклан Лоуни;;2013
Алан и Эрик: Между «привет» и «пока»;драма;Питер Чан;Гонконг;1991
Штурмующие;драма, боевик;Берт Кеннеди;США;1987
Аламо;Драма, исторический фильм, военный фильм, вестерн;Джон Ли Хэнкок;США;2004
Аладдин и его волшебная лампа;приключенческий фильм, комедия, семейный фильм, фэнтези;Тим Бёртон;США;1986
Аладдин;комедия, мюзикл, фэнтези, приключения, мелодрама;Гай Ричи;США;2019
Алавердоба;притча;Георгий Шенгелая;СССР;1962
Акция;военный фильм;Владимир Шамшурин;СССР;1987
Акулы;боевик, фильм ужасов, триллер;Боб Мисиоровски;;1999
Акулосьминог;ужасы, фантастика, боевик, комедия;Деклан О’Брайен;США;2010
Акулий торнадо 5: Глобальное роение;комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа;Энтони Ферранте;США;2017
Акулий торнадо 4: Пробуждение;"комедийный, научно-фантастический, фильм ужасов, ;, фильм-катастрофа";Энтони Ферранте;США;2016
Акулий торнадо 2: Второй по счёту;ужасы, комедия, фантастика, трэш;Энтони Ферранте;США;2014
Акулий торнадо;фильм-катастрофа, ужасы, фантастика, комедия;Энтони Ферранте;США, 3;2013
Акулий торнадо 3;"комедийный, научно-фантастический, фильм ужасов, ;, фильм-катастрофа";Энтони Ферранте;США;2015
Акула-робот;Фантастика, комедия, Боевик, Триллер;Джеффри Скотт Ландо;;2015
Акула-монстр;боевик, фильм ужасов, триллер;Ламберто Бава;;1984
Акты насилия;боевик, приключенческий фильм;Бретт Доноху;;2018
Актрисы;драма;Ли Джэ Ён;Республика Корея;2009
Анна и Командор;мелодрама;Евгений Хринюк;СССР;1974
Анна Бонд;боевик, мелодрама, драма;Дуния Сури;Индия;2012
Анна;боевик, триллер, шпионский фильм;Люк Бессон;Франция;2019
Анна;мелодрама, семейный фильм;Франк Штрекер, (, нем., Frank Strecker, );ФРГ;1988
Анна;музыкальный фильм;Пьер Коральник, [англ.];Франция;1967
Анна;постапокалипсис, антиутопия;Никколо Амманити;Италия;2021
Анкор, ещё анкор!;драма;Пётр Тодоровский;Россия;1992
Анклав;драма;Горан Радованович;;2015
Анита О’Дэй: Жизнь джазовой певицы;документальный;Робби Каволина, Иэн Маккрадден;США;2007
Анискин и Фантомас;детективный фильм, комедия;Михаил Жаров, Виталий Иванов, Владимир Рапопорт;СССР;1973
Анимация;драма;Сергей Николаевич;Россия;2020
Анима мунди;документальный фильм;Годфри Реджио;США;1992
Анжель;драма, и, экранизация литературного произведения, [вд];Марсель Паньоль;Франция;1934
Анжелика, маркиза ангелов;мелодрама, приключения;Ариель Зейтун;Франция;2013
Анжелика и султан;приключенческий фильм;Бернар Бордери;;1968
Анжелика и король;экранизация, приключенческий фильм, мелодрама, исторический фильм;Бернар Бордери;;1966
Анжелика — маркиза ангелов;экранизация, приключенческий фильм, мелодрама;Бернар Бордери;;1964
Анемон;драма;Ронан Дэй-Льюис, [вд];США;2025
Анечка идёт в школу;детский, экранизация;Милан Вошмик;Чехословакия;1962
Андула — Визит в другую жизнь;документальный фильм;Фред Брайнерсдорфер, Анна Ворст;Германия;2009
Анетта;киноновелла, экранизация;Георгий Шмованов;СССР;1966
Анжелика в гневе;экранизация, приключенческий фильм, мелодрама;Бернар Бордери;;1965
Анемия;драма;Тато Котетишвили;СССР;1987
Андрокл и лев;пеплум;Честер Эрскин, Николас Рэй;;1952
Андроид;технотриллер;Бобби Бурманс;Нидерланды;2013
Андроид;фантастика, /, драма;Аарон Липштадт;США;1982
Андриеш;сказка;Яков Базелян, Сергей Параджанов;СССР;1954
Андрейка;киноповесть;Николай Лебедев;СССР;1958
Андрей Рублёв;историческая, драма;Андрей Тарковский;СССР;1966
Андрей и злой чародей;сказка, комедия;Геннадий Харлан;СССР;1981
Андре;приключения, драма, семейный фильм;Джордж Т. Миллер;США;1994
Андра;приключения;Мэтт Симбер;;1983
Андин. Хроники армянских путешествий;документальный, исторический;Рубен Гини;;2014
Анджело, моя любовь;драма;Роберт Дюваль;США;1983
Анджело;Историческая драма;Михаил Нароков;РСФСР;1920
Андерсен. Жизнь без любви;Биография, Сказка;Эльдар Рязанов;Россия;2006
Андерграунд;антивоенный, драма, эксцентричная, трагикомедия, фантасмагория, притча;Эмир Кустурица, 2;;1995
Андалузский пёс;сюрреализм, авангард;Луис Бунюэль;Франция;1929
Ангус, стринги и поцелуи взасос;комедия, /, драма;Гуриндер Чадха;;2008
Ангус;комедия;Пэтрик Рид Джонсон;;1995
Англия!;драма;Ахим фон Боррис;Германия;2000
Англичанин, который поднялся на холм, а спустился с горы;комедия;Кристофер Монгер;Великобритания;1995
Англичанин в Нью-Йорке;Биография, /, драма;Ричард Лэкстон;Великобритания;2009
Английский цирюльник;комедия;Пэдди Бретнэк, [англ.];;2001
Английский вальс;мелодрама, экранизация;Гитис Лукшас;СССР;1982
Английский пациент;драма, мелодрама;Энтони Мингелла;;1996
Ангельское лицо;нуар, мелодрама, триллер;Отто Премингер;США;1953
Ангельские глазки;драма;Роберт Хармон;США;1991
Ангелы-хранители;триллер;Джон Хэсс;Канада;1988
Ангелы Чарли: Только вперёд;боевик, приключенческий фильм, комедия;Макджи;США;2003
Ангелы Чарли;комедийный боевик;Элизабет Бэнкс;США;2019
Ангелы у кромки поля;семейный фильм, комедия;Уильям Дир;США;1994
Ангелы смерти;драма, военный фильм;Юрий Озеров;;1993
Ангелы Чарли;приключения, комедия, боевик;Макджи;США;2000
Ангелы с грязными лицами;гангстерская, драма;Майкл Кёртис;США;1938
Ангелы революции;романтическая драма;Алексей Федорченко;Россия;2014
Ангелы падают;триллер, /, драма, /, мелодрама;Ральф Хемекер;США;2007
Ангелы не жужжат;чёрная комедия, абсурдистская комедия, 1;Александр Селиверстов;;2024
Ангелы и насекомые;драма;Филип Хаас, [англ.];;1995
Ангелы и демоны;приключения, триллер;Рон Ховард;США;2009
Ангелы греха;драма;Робер Брессон;Франция;1943
Ангелы Вселенной;драма;Фридрик Тоур Фридрихссон;;2000
Ангелы в раю;драма;Евгений Лунгин;;1993
Ангелы Борселлино;драма;Чезарео, Рокко;Италия;2003
Ангелы ада на колёсах;боевик;Ричард Раш;США;1967
Ангелы ада;боевик;Брюс Кесслер;США;1968
